date,user,minutes
2026-07-09,Dario,3
2026-07-09,David,10
2026-07-10,Dario,11
2026-07-11,Dario,3
2026-07-12,Dario,16
2026-07-13,Dario,3
2026-07-14,Dario,3
2026-07-14,David,7
2026-07-15,David,3
2026-07-18,Dario,24
2026-07-19,Dario,3
2026-07-20,Dario,5
2026-07-21,Dario,3
2026-07-22,Dario,6
